report_id,machine_id,operator_name,shift,date,incident_description,initial_action,severity,status
REP_1029,MCH_019,R. Verma,Day,2025-10-20,Unusual vibration noise observed near bearing housing.,Checked coolant levels and filters.,Low,Closed
REP_1030,MCH_009,J. Das,Day,2025-09-09,Pressure fluctuations noted under steady load.,Checked coolant levels and filters.,Critical,Closed
REP_1031,MCH_047,R. Verma,Day,2025-09-10,Unusual vibration noise observed near bearing housing.,Reset system and escalated to engineering.,Critical,Investigating
REP_1032,MCH_005,A. Khan,Day,2025-10-05,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Critical,Closed
REP_1033,MCH_042,A. Khan,Day,2025-10-03,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Low,Closed
REP_1034,MCH_029,T. Singh,Evening,2025-09-01,Unusual vibration noise observed near bearing housing.,Adjusted valve and resumed normal operation.,Low,Open
REP_1035,MCH_030,R. Verma,Evening,2025-10-07,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Low,Open
REP_1036,MCH_018,A. Khan,Night,2025-09-10,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,High,Closed
REP_1037,MCH_026,T. Singh,Evening,2025-09-28,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,Critical,Closed
REP_1038,MCH_021,N. Iyer,Night,2025-10-13,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,Medium,Open
REP_1039,MCH_042,T. Singh,Day,2025-09-24,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Medium,Open
REP_1040,MCH_041,T. Singh,Evening,2025-09-27,System auto-shutdown triggered by overheat sensor.,Temporarily halted machine for inspection.,High,Closed
REP_1041,MCH_012,R. Verma,Night,2025-09-28,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Medium,Investigating
REP_1042,MCH_017,A. Khan,Day,2025-10-12,Oil leakage detected near coupling joint.,Adjusted valve and resumed normal operation.,High,Investigating
REP_1043,MCH_008,N. Iyer,Day,2025-09-15,Temperature rising faster than normal during startup.,Adjusted valve and resumed normal operation.,Medium,Closed
REP_1044,MCH_037,N. Iyer,Evening,2025-10-23,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,Critical,Investigating
REP_1045,MCH_026,T. Singh,Night,2025-10-31,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,High,Open
REP_1046,MCH_032,J. Das,Night,2025-09-08,Minor smoke detected from motor casing.,Checked coolant levels and filters.,Critical,Investigating
REP_1047,MCH_023,N. Iyer,Day,2025-09-12,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,High,Closed
REP_1048,MCH_010,J. Das,Day,2025-10-09,Pressure fluctuations noted under steady load.,Checked coolant levels and filters.,Low,Investigating
REP_1049,MCH_014,T. Singh,Night,2025-09-25,Oil leakage detected near coupling joint.,Checked coolant levels and filters.,Critical,Closed
REP_1050,MCH_047,R. Verma,Evening,2025-09-25,Temperature rising faster than normal during startup.,Adjusted valve and resumed normal operation.,Critical,Closed
REP_1051,MCH_049,J. Das,Night,2025-10-14,Unusual vibration noise observed near bearing housing.,Temporarily halted machine for inspection.,High,Open
REP_1052,MCH_014,J. Das,Day,2025-09-12,System auto-shutdown triggered by overheat sensor.,Checked coolant levels and filters.,Medium,Investigating
REP_1053,MCH_019,R. Verma,Night,2025-10-01,Oil leakage detected near coupling joint.,Reduced load and notified maintenance team.,Low,Investigating
REP_1054,MCH_003,N. Iyer,Night,2025-10-21,Unusual vibration noise observed near bearing housing.,Adjusted valve and resumed normal operation.,Critical,Investigating
REP_1055,MCH_047,T. Singh,Day,2025-10-27,Pressure fluctuations noted under steady load.,Reduced load and notified maintenance team.,High,Closed
REP_1056,MCH_022,S. Kumar,Evening,2025-09-27,Oil leakage detected near coupling joint.,Reduced load and notified maintenance team.,Low,Open
REP_1057,MCH_030,A. Khan,Night,2025-10-29,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,Critical,Open
REP_1058,MCH_036,R. Verma,Evening,2025-09-30,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,High,Open
REP_1059,MCH_006,S. Kumar,Night,2025-10-02,Temperature rising faster than normal during startup.,Monitored parameters for 15 minutes.,Critical,Open
REP_1060,MCH_005,J. Das,Evening,2025-10-17,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,Critical,Open
REP_1061,MCH_013,N. Iyer,Day,2025-09-02,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,High,Closed
REP_1062,MCH_049,R. Verma,Day,2025-10-25,Slight delay in start-up sequence observed.,Checked coolant levels and filters.,High,Investigating
REP_1063,MCH_034,T. Singh,Evening,2025-10-03,Oil leakage detected near coupling joint.,Adjusted valve and resumed normal operation.,High,Open
REP_1064,MCH_046,S. Kumar,Day,2025-09-30,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,Critical,Investigating
REP_1065,MCH_014,A. Khan,Night,2025-09-15,Minor smoke detected from motor casing.,Checked coolant levels and filters.,High,Closed
REP_1066,MCH_015,S. Kumar,Night,2025-10-23,Minor smoke detected from motor casing.,Checked coolant levels and filters.,Medium,Closed
REP_1067,MCH_040,R. Verma,Night,2025-10-15,Oil leakage detected near coupling joint.,Temporarily halted machine for inspection.,Low,Closed
REP_1068,MCH_003,N. Iyer,Evening,2025-10-31,Temperature rising faster than normal during startup.,Adjusted valve and resumed normal operation.,Low,Open
REP_1069,MCH_038,A. Khan,Evening,2025-10-17,System auto-shutdown triggered by overheat sensor.,Reduced load and notified maintenance team.,Medium,Open
REP_1070,MCH_019,J. Das,Night,2025-10-30,Unusual vibration noise observed near bearing housing.,Adjusted valve and resumed normal operation.,Critical,Closed
REP_1071,MCH_037,T. Singh,Evening,2025-09-27,System auto-shutdown triggered by overheat sensor.,Reset system and escalated to engineering.,High,Investigating
REP_1072,MCH_039,A. Khan,Day,2025-10-11,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,High,Closed
REP_1073,MCH_004,J. Das,Day,2025-10-25,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,High,Closed
REP_1074,MCH_022,R. Verma,Day,2025-10-18,Slight delay in start-up sequence observed.,Reset system and escalated to engineering.,Medium,Investigating
REP_1075,MCH_025,A. Khan,Day,2025-09-25,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,High,Open
REP_1076,MCH_035,T. Singh,Day,2025-09-12,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Medium,Open
REP_1077,MCH_013,R. Verma,Evening,2025-09-06,Unusual vibration noise observed near bearing housing.,Adjusted valve and resumed normal operation.,Critical,Open
REP_1078,MCH_048,J. Das,Night,2025-10-25,Oil leakage detected near coupling joint.,Adjusted valve and resumed normal operation.,Medium,Closed
REP_1079,MCH_030,R. Verma,Day,2025-09-09,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Medium,Open
REP_1080,MCH_049,A. Khan,Night,2025-10-30,System auto-shutdown triggered by overheat sensor.,Monitored parameters for 15 minutes.,High,Open
REP_1081,MCH_021,T. Singh,Day,2025-09-18,System auto-shutdown triggered by overheat sensor.,Adjusted valve and resumed normal operation.,Medium,Investigating
REP_1082,MCH_024,S. Kumar,Night,2025-10-23,Oil leakage detected near coupling joint.,Reduced load and notified maintenance team.,High,Closed
REP_1083,MCH_023,T. Singh,Evening,2025-10-26,Slight delay in start-up sequence observed.,Adjusted valve and resumed normal operation.,Critical,Investigating
REP_1084,MCH_017,T. Singh,Day,2025-10-25,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Critical,Closed
REP_1085,MCH_034,J. Das,Day,2025-09-01,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,High,Investigating
REP_1086,MCH_013,N. Iyer,Night,2025-10-10,Pressure fluctuations noted under steady load.,Reset system and escalated to engineering.,Low,Closed
REP_1087,MCH_023,T. Singh,Day,2025-10-14,Oil leakage detected near coupling joint.,Checked coolant levels and filters.,High,Open
REP_1088,MCH_034,A. Khan,Day,2025-09-18,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,Critical,Open
REP_1089,MCH_016,J. Das,Evening,2025-10-27,Temperature rising faster than normal during startup.,Temporarily halted machine for inspection.,High,Investigating
REP_1090,MCH_043,A. Khan,Night,2025-10-28,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Critical,Closed
REP_1091,MCH_019,J. Das,Evening,2025-09-26,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Medium,Open
REP_1092,MCH_013,N. Iyer,Night,2025-10-01,Unusual vibration noise observed near bearing housing.,Reset system and escalated to engineering.,Critical,Open
REP_1093,MCH_024,A. Khan,Evening,2025-10-13,Minor smoke detected from motor casing.,Reduced load and notified maintenance team.,Critical,Investigating
REP_1094,MCH_041,A. Khan,Night,2025-09-04,Oil leakage detected near coupling joint.,Reduced load and notified maintenance team.,Low,Open
REP_1095,MCH_041,A. Khan,Evening,2025-09-07,Oil leakage detected near coupling joint.,Temporarily halted machine for inspection.,Critical,Closed
REP_1096,MCH_013,S. Kumar,Day,2025-10-14,Pressure fluctuations noted under steady load.,Temporarily halted machine for inspection.,Low,Open
REP_1097,MCH_036,N. Iyer,Day,2025-09-23,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Critical,Open
REP_1098,MCH_043,S. Kumar,Night,2025-10-22,Minor smoke detected from motor casing.,Reduced load and notified maintenance team.,Low,Open
REP_1099,MCH_026,J. Das,Evening,2025-10-28,Pressure fluctuations noted under steady load.,Adjusted valve and resumed normal operation.,Medium,Open
REP_1100,MCH_047,T. Singh,Day,2025-09-20,Temperature rising faster than normal during startup.,Temporarily halted machine for inspection.,Low,Closed
REP_1101,MCH_009,R. Verma,Evening,2025-09-18,System auto-shutdown triggered by overheat sensor.,Reset system and escalated to engineering.,High,Closed
REP_1102,MCH_013,A. Khan,Day,2025-10-28,Temperature rising faster than normal during startup.,Temporarily halted machine for inspection.,Medium,Open
REP_1103,MCH_035,A. Khan,Night,2025-10-30,Unusual vibration noise observed near bearing housing.,Temporarily halted machine for inspection.,Low,Investigating
REP_1104,MCH_035,J. Das,Day,2025-10-19,Temperature rising faster than normal during startup.,Monitored parameters for 15 minutes.,Low,Investigating
REP_1105,MCH_041,S. Kumar,Night,2025-10-29,Minor smoke detected from motor casing.,Temporarily halted machine for inspection.,Critical,Closed
REP_1106,MCH_006,J. Das,Evening,2025-10-09,Oil leakage detected near coupling joint.,Temporarily halted machine for inspection.,High,Investigating
REP_1107,MCH_042,S. Kumar,Night,2025-09-09,Temperature rising faster than normal during startup.,Reduced load and notified maintenance team.,High,Closed
REP_1108,MCH_048,R. Verma,Evening,2025-10-07,Slight delay in start-up sequence observed.,Reset system and escalated to engineering.,Low,Closed
REP_1109,MCH_015,N. Iyer,Night,2025-10-22,Oil leakage detected near coupling joint.,Reduced load and notified maintenance team.,Low,Open
REP_1110,MCH_039,T. Singh,Evening,2025-09-24,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Medium,Open
REP_1111,MCH_023,N. Iyer,Day,2025-10-01,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Low,Closed
REP_1112,MCH_028,T. Singh,Evening,2025-10-28,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,Medium,Closed
REP_1113,MCH_043,J. Das,Evening,2025-10-26,Minor smoke detected from motor casing.,Temporarily halted machine for inspection.,Medium,Open
REP_1114,MCH_001,R. Verma,Evening,2025-09-09,Slight delay in start-up sequence observed.,Checked coolant levels and filters.,High,Closed
REP_1115,MCH_035,N. Iyer,Evening,2025-09-15,Oil leakage detected near coupling joint.,Temporarily halted machine for inspection.,Low,Open
REP_1116,MCH_018,N. Iyer,Night,2025-10-09,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,High,Investigating
REP_1117,MCH_048,R. Verma,Evening,2025-10-26,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Critical,Closed
REP_1118,MCH_016,S. Kumar,Day,2025-10-19,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,High,Investigating
REP_1119,MCH_048,S. Kumar,Evening,2025-10-29,Minor smoke detected from motor casing.,Checked coolant levels and filters.,High,Investigating
REP_1120,MCH_031,A. Khan,Night,2025-10-28,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,Medium,Closed
REP_1121,MCH_016,A. Khan,Night,2025-09-03,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,High,Open
REP_1122,MCH_044,S. Kumar,Night,2025-10-20,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,High,Closed
REP_1123,MCH_015,R. Verma,Night,2025-09-09,Pressure fluctuations noted under steady load.,Reduced load and notified maintenance team.,Medium,Open
REP_1124,MCH_023,N. Iyer,Day,2025-10-23,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,Critical,Closed
REP_1125,MCH_009,N. Iyer,Day,2025-10-02,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,High,Closed
REP_1126,MCH_019,J. Das,Day,2025-09-23,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Low,Closed
REP_1127,MCH_049,T. Singh,Day,2025-09-11,Oil leakage detected near coupling joint.,Monitored parameters for 15 minutes.,High,Open
REP_1128,MCH_021,A. Khan,Day,2025-09-20,Pressure fluctuations noted under steady load.,Temporarily halted machine for inspection.,Critical,Investigating
REP_1129,MCH_032,J. Das,Evening,2025-10-05,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Low,Open
REP_1130,MCH_001,A. Khan,Night,2025-10-10,Pressure fluctuations noted under steady load.,Monitored parameters for 15 minutes.,High,Open
REP_1131,MCH_029,T. Singh,Night,2025-10-14,Oil leakage detected near coupling joint.,Adjusted valve and resumed normal operation.,High,Investigating
REP_1132,MCH_041,S. Kumar,Evening,2025-09-18,Pressure fluctuations noted under steady load.,Temporarily halted machine for inspection.,Critical,Closed
REP_1133,MCH_009,J. Das,Night,2025-10-26,Minor smoke detected from motor casing.,Adjusted valve and resumed normal operation.,Medium,Open
REP_1134,MCH_029,S. Kumar,Night,2025-09-27,Oil leakage detected near coupling joint.,Temporarily halted machine for inspection.,Critical,Open
REP_1135,MCH_029,S. Kumar,Night,2025-10-28,Unusual vibration noise observed near bearing housing.,Checked coolant levels and filters.,Critical,Open
REP_1136,MCH_018,N. Iyer,Day,2025-10-29,Minor smoke detected from motor casing.,Adjusted valve and resumed normal operation.,Critical,Closed
REP_1137,MCH_006,S. Kumar,Evening,2025-10-19,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,High,Open
REP_1138,MCH_041,R. Verma,Evening,2025-10-25,Oil leakage detected near coupling joint.,Adjusted valve and resumed normal operation.,High,Closed
REP_1139,MCH_047,S. Kumar,Night,2025-09-26,Slight delay in start-up sequence observed.,Checked coolant levels and filters.,Critical,Closed
REP_1140,MCH_010,A. Khan,Evening,2025-10-30,Slight delay in start-up sequence observed.,Reset system and escalated to engineering.,Low,Closed
REP_1141,MCH_009,T. Singh,Night,2025-10-20,Pressure fluctuations noted under steady load.,Reduced load and notified maintenance team.,Low,Closed
REP_1142,MCH_012,S. Kumar,Night,2025-10-16,Pressure fluctuations noted under steady load.,Monitored parameters for 15 minutes.,Medium,Closed
REP_1143,MCH_022,S. Kumar,Evening,2025-10-20,System auto-shutdown triggered by overheat sensor.,Monitored parameters for 15 minutes.,Medium,Closed
REP_1144,MCH_043,N. Iyer,Day,2025-10-19,Pressure fluctuations noted under steady load.,Reduced load and notified maintenance team.,Medium,Open
REP_1145,MCH_027,R. Verma,Evening,2025-09-09,Minor smoke detected from motor casing.,Temporarily halted machine for inspection.,High,Open
REP_1146,MCH_010,S. Kumar,Evening,2025-09-23,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Low,Open
REP_1147,MCH_035,T. Singh,Night,2025-10-13,Oil leakage detected near coupling joint.,Checked coolant levels and filters.,Medium,Closed
REP_1148,MCH_013,A. Khan,Evening,2025-10-25,Unusual vibration noise observed near bearing housing.,Temporarily halted machine for inspection.,Medium,Open
REP_1149,MCH_004,S. Kumar,Evening,2025-10-03,Pressure fluctuations noted under steady load.,Reset system and escalated to engineering.,Critical,Closed
REP_1150,MCH_034,N. Iyer,Evening,2025-10-21,Minor smoke detected from motor casing.,Reduced load and notified maintenance team.,High,Investigating
REP_1151,MCH_046,R. Verma,Day,2025-10-03,Pressure fluctuations noted under steady load.,Monitored parameters for 15 minutes.,Medium,Investigating
REP_1152,MCH_009,A. Khan,Day,2025-09-26,Minor smoke detected from motor casing.,Temporarily halted machine for inspection.,High,Open
REP_1153,MCH_012,S. Kumar,Night,2025-09-03,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,Medium,Closed
REP_1154,MCH_001,T. Singh,Evening,2025-10-15,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Low,Closed
REP_1155,MCH_027,N. Iyer,Evening,2025-10-13,Slight delay in start-up sequence observed.,Temporarily halted machine for inspection.,High,Open
REP_1156,MCH_043,A. Khan,Evening,2025-10-27,System auto-shutdown triggered by overheat sensor.,Adjusted valve and resumed normal operation.,Low,Open
REP_1157,MCH_035,R. Verma,Day,2025-10-02,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,Critical,Investigating
REP_1158,MCH_023,N. Iyer,Day,2025-09-02,Oil leakage detected near coupling joint.,Temporarily halted machine for inspection.,Low,Investigating
REP_1159,MCH_024,S. Kumar,Night,2025-10-20,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,High,Closed
REP_1160,MCH_017,A. Khan,Day,2025-09-07,Pressure fluctuations noted under steady load.,Checked coolant levels and filters.,Critical,Closed
REP_1161,MCH_028,N. Iyer,Day,2025-10-08,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Critical,Closed
REP_1162,MCH_034,N. Iyer,Evening,2025-10-01,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,Critical,Open
REP_1163,MCH_011,J. Das,Night,2025-09-04,Unusual vibration noise observed near bearing housing.,Temporarily halted machine for inspection.,High,Open
REP_1164,MCH_041,A. Khan,Evening,2025-10-20,Pressure fluctuations noted under steady load.,Adjusted valve and resumed normal operation.,Critical,Open
REP_1165,MCH_006,A. Khan,Day,2025-09-26,Temperature rising faster than normal during startup.,Reduced load and notified maintenance team.,Low,Closed
REP_1166,MCH_039,R. Verma,Night,2025-09-13,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,High,Open
REP_1167,MCH_038,N. Iyer,Day,2025-09-20,Pressure fluctuations noted under steady load.,Temporarily halted machine for inspection.,Low,Open
REP_1168,MCH_016,T. Singh,Night,2025-09-27,Temperature rising faster than normal during startup.,Checked coolant levels and filters.,Low,Investigating
REP_1169,MCH_015,A. Khan,Evening,2025-10-28,System auto-shutdown triggered by overheat sensor.,Reduced load and notified maintenance team.,High,Closed
REP_1170,MCH_027,N. Iyer,Night,2025-10-07,Unusual vibration noise observed near bearing housing.,Adjusted valve and resumed normal operation.,Low,Closed
REP_1171,MCH_032,R. Verma,Night,2025-09-28,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,Critical,Open
REP_1172,MCH_050,A. Khan,Day,2025-10-22,Pressure fluctuations noted under steady load.,Monitored parameters for 15 minutes.,High,Open
REP_1173,MCH_028,R. Verma,Day,2025-10-20,Slight delay in start-up sequence observed.,Monitored parameters for 15 minutes.,Low,Investigating
REP_1174,MCH_036,S. Kumar,Night,2025-10-17,Temperature rising faster than normal during startup.,Adjusted valve and resumed normal operation.,Low,Investigating
REP_1175,MCH_015,J. Das,Night,2025-10-05,System auto-shutdown triggered by overheat sensor.,Reduced load and notified maintenance team.,High,Investigating
REP_1176,MCH_024,T. Singh,Day,2025-09-25,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Medium,Investigating
REP_1177,MCH_031,A. Khan,Day,2025-09-25,Unusual vibration noise observed near bearing housing.,Monitored parameters for 15 minutes.,Low,Investigating
REP_1178,MCH_032,A. Khan,Night,2025-09-17,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Medium,Open
REP_1179,MCH_008,R. Verma,Evening,2025-10-18,Pressure fluctuations noted under steady load.,Adjusted valve and resumed normal operation.,Low,Closed
REP_1180,MCH_009,J. Das,Evening,2025-09-08,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Critical,Closed
REP_1181,MCH_031,J. Das,Day,2025-09-03,System auto-shutdown triggered by overheat sensor.,Adjusted valve and resumed normal operation.,Medium,Closed
REP_1182,MCH_025,T. Singh,Day,2025-09-28,System auto-shutdown triggered by overheat sensor.,Monitored parameters for 15 minutes.,Low,Open
REP_1183,MCH_020,J. Das,Evening,2025-10-24,Temperature rising faster than normal during startup.,Reset system and escalated to engineering.,Low,Investigating
REP_1184,MCH_030,S. Kumar,Night,2025-10-12,Slight delay in start-up sequence observed.,Adjusted valve and resumed normal operation.,Low,Open
REP_1185,MCH_009,A. Khan,Day,2025-09-23,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Critical,Closed
REP_1186,MCH_008,T. Singh,Night,2025-09-19,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,High,Open
REP_1187,MCH_021,A. Khan,Night,2025-09-20,Temperature rising faster than normal during startup.,Monitored parameters for 15 minutes.,High,Open
REP_1188,MCH_008,T. Singh,Day,2025-10-23,Minor smoke detected from motor casing.,Checked coolant levels and filters.,Low,Investigating
REP_1189,MCH_007,S. Kumar,Evening,2025-10-16,System auto-shutdown triggered by overheat sensor.,Checked coolant levels and filters.,High,Investigating
REP_1190,MCH_042,J. Das,Day,2025-10-07,Unusual vibration noise observed near bearing housing.,Checked coolant levels and filters.,High,Open
REP_1191,MCH_021,N. Iyer,Evening,2025-09-23,Pressure fluctuations noted under steady load.,Reset system and escalated to engineering.,High,Closed
REP_1192,MCH_045,S. Kumar,Day,2025-10-12,System auto-shutdown triggered by overheat sensor.,Reduced load and notified maintenance team.,Medium,Open
REP_1193,MCH_010,R. Verma,Evening,2025-09-29,Minor smoke detected from motor casing.,Reset system and escalated to engineering.,High,Open
REP_1194,MCH_035,J. Das,Day,2025-09-05,Pressure fluctuations noted under steady load.,Adjusted valve and resumed normal operation.,Medium,Open
REP_1195,MCH_010,A. Khan,Day,2025-09-22,Pressure fluctuations noted under steady load.,Adjusted valve and resumed normal operation.,Medium,Closed
REP_1196,MCH_005,N. Iyer,Day,2025-09-09,Slight delay in start-up sequence observed.,Temporarily halted machine for inspection.,Low,Open
REP_1197,MCH_031,T. Singh,Evening,2025-09-26,Minor smoke detected from motor casing.,Adjusted valve and resumed normal operation.,High,Investigating
REP_1198,MCH_019,J. Das,Day,2025-09-02,Slight delay in start-up sequence observed.,Checked coolant levels and filters.,Medium,Open
REP_1199,MCH_009,S. Kumar,Night,2025-09-22,Slight delay in start-up sequence observed.,Reset system and escalated to engineering.,Medium,Investigating
REP_1200,MCH_004,T. Singh,Night,2025-10-24,Slight delay in start-up sequence observed.,Reduced load and notified maintenance team.,Critical,Investigating
REP_1201,MCH_009,T. Singh,Night,2025-10-10,Unusual vibration noise observed near bearing housing.,Reduced load and notified maintenance team.,Medium,Open
REP_1202,MCH_030,R. Verma,Night,2025-10-12,Oil leakage detected near coupling joint.,Reduced load and notified maintenance team.,Critical,Investigating
REP_1203,MCH_038,N. Iyer,Evening,2025-09-09,Minor smoke detected from motor casing.,Monitored parameters for 15 minutes.,Medium,Open
REP_1204,MCH_004,J. Das,Evening,2025-10-25,Temperature rising faster than normal during startup.,Checked coolant levels and filters.,Medium,Investigating
REP_1205,MCH_037,R. Verma,Day,2025-10-22,Oil leakage detected near coupling joint.,Reset system and escalated to engineering.,Low,Investigating
